PRODUCT_ID,TITLE,ATTRIBUTES,SOURCE_FILE,IS_HAZMAT_HUMAN
MLB29523289,Base Estrela Secretaria Em Aço C/ Rodízios E Capa Plástica,"{'Marca': 'cadeira giratória diretora', 'Fabricante': 'gamer escritório ajustavél', 'Modelo': 'Aço Nylon PP', 'Cor': 'Preto', 'Quantidade de assentos': '0', 'Material do assento': 'Não tem', 'Materiais da estrutura': 'Ferro, Plástico', 'Com compartimento para livros': 'Não', 'Requer montagem': 'Não'}",info_products_10_escritório.json,False
MLB34230359,Escrivaninha Office Nt2105 Notável Móveis Cor Freijó Trend,"{'Marca': 'Notável Móveis', 'Modelo': 'NT2105', 'Comprimento': '123 cm', 'Cor': 'Freijó Trend', 'Capacidade em peso': '20 kg', 'Materiais da escrivaninha': 'MDP', 'Requer montagem': 'Sim', 'Com gavetas': 'Não', 'Inclui estante para livros': 'Sim', 'É flutuante': 'Não', 'É em forma de L': 'Não', 'É gamer': 'Não', 'Com luzes LED': 'Não'}",info_products_10_escritório.json,False
MLB15904595,Cadeira de Escritório Mymax Gamer MX5 Cor Preto,"{'Marca': 'Mymax', 'Linha': 'Gamer', 'Modelo': 'MX5', 'Cor': 'Preto', 'Material do estofamento': 'Tecido sintético PU', 'Unidades por kit': '1', 'Modelo detalhado': 'MGCH-MX5/BK', 'Cor principal': 'Preto', 'Cor filtrável': 'Preto', 'Tipo de cadeira de escritório': 'Gamer', 'Materiais da estrutura': 'Metal', 'Materiais do enchimento': 'Espuma', 'Altura do encosto': '83 cm', 'Profundidade do assento': '53 cm', 'Largura da cadeira': '68 cm', 'Altura máxima da cadeira': '137 cm', 'Peso máximo suportado': '150 kg', 'Requer montagem': 'Sim', 'Com altura ajustável': 'Sim', 'Com aro para pés': 'Não', 'Com apoio de braços': 'Sim', 'Com encosto reclinável': 'Sim', 'Com rodas': 'Sim', 'Com luzes': 'Não', 'Com apoio de braços ajustável': 'Sim', 'Com apoio de cabeça': 'Sim', 'Com apoio de pés': 'Não', 'É gamer': 'Sim', 'É ergonômica': 'Sim', 'É giratória': 'Sim', 'Inclui manual de montagem': 'Sim', 'Tipo de apoio lombar': 'Regulável', 'Acabamento da estrutura': 'Cromado', 'Tipos de mecanismos de reclinação': 'Encosto reclinável, Basculante', 'Faixa de inclinação do encosto': '90 ° x 180 °', 'Profundidade da cadeira': '32 cm', 'Diâmetro da base': '70 cm', 'Peso da cadeira': '30 kg', 'Largura do assento': '34 cm', 'Altura mínima do chão ao assento': '45 cm', 'Altura máxima do chão ao assento\r': '55 cm', 'Altura mínima da cadeira': '127 cm', 'MPN': '25.009173'}",info_products_10_escritório.json,False
MLB26801865,Marmita Dupla Camada Á Prova De Vazamento Imediato,"{'Marca': 'Marmita,Lancheira,Escritorio', 'Modelo': 'Marmita dupla', 'Cor': 'Azul', 'Formato de venda': 'Unidade', 'Unidades por kit': '1', 'Unidades por embalagem': '1', 'Capacidade em volume': '1.2 L', 'Material': 'Plástico', 'Forma': 'Retangular', 'Comprimento': '21 cm', 'Largura': '15 cm', 'Altura': '8 cm', 'Diâmetro': '20 cm', 'É hermético': 'Sim', 'É apto para micro-ondas': 'Sim', 'É apto para lava-louças': 'Sim', 'Com tampa': 'Sim', 'Tipo de tampa': 'Hermética'}",info_products_10_escritório.json,False
MLB22522670,Cadeira de escritório TGTTGT-OFC-001 TGT ergonômica  preta com estofado de malha,"{'Marca': 'TGT', 'Linha': 'cadeira fixa escritorio', 'Modelo': 'TGT-OFC-001', 'Modelo alfanumérico': 'TS100', 'Cor': 'Preto', 'Material do estofamento': 'Malha', 'Formato de venda': 'Unidade', 'Unidades por kit': '1', 'Modelo detalhado': 'TGT-OFC-001', 'Cor principal': 'Preto', 'Tipo de cadeira de escritório': 'Escritório', 'Materiais da estrutura': 'Aço', 'Materiais do enchimento': 'Espuma', 'Materiais do aro para pés': 'Metal', 'Altura do encosto': '49 cm', 'Profundidade do assento': '49 cm', 'Largura da cadeira': '47 cm', 'Altura máxima da cadeira': '98 cm', 'Peso máximo suportado': '100 kg', 'Requer montagem': 'Sim', 'Com altura ajustável': 'Sim', 'Com aro para pés': 'Não', 'Com apoio de braços': 'Sim', 'Com encosto reclinável': 'Não', 'Com rodas': 'Sim', 'Com luzes': 'Não', 'Com apoio de braços ajustável': 'Não', 'Com apoio de cabeça': 'Não', 'Com apoio de pés': 'Não', 'É gamer': 'Não', 'É ergonômica': 'Sim', 'É giratória': 'Sim', 'Tipo de apoio lombar': 'Fixo', 'Acabamento da estrutura': 'aço', 'Altura da cadeira': '98 cm', 'Profundidade da cadeira': '47 cm', 'Diâmetro da base': '58 cm', 'Peso da cadeira': '8 kg', 'Largura do assento': '49 cm', 'Largura do encosto': '48 cm', 'Altura mínima do chão ao assento': '42 cm', 'Altura máxima do chão ao assento\r': '50 cm', 'Altura mínima da cadeira': '42 cm'}",info_products_10_escritório.json,False
MLB18953767,Escrivaninha Tecno Mobili ME4116 mdp de 1.573m x 745mm x 600mm x 1573mm preto BP,"{'Marca': 'Tecno Mobili', 'Modelo': 'ME4116', 'Comprimento': '157.3 cm', 'Profundidade': '60 cm', 'Largura': '157.3 cm', 'Altura': '74.5 cm', 'Cor': 'Preto', 'Cor principal': 'Preto', 'Materiais da escrivaninha': 'MDP', 'Estilo': 'Moderno', 'Requer montagem': 'Sim', 'Com gavetas': 'Não', 'Quantidade de gavetas': '0', 'Inclui estante para livros': 'Não', 'É flutuante': 'Não', 'É em forma de L': 'Sim', 'É gamer': 'Não', 'Com luzes LED': 'Não', 'Inclui manual de instruções': 'Sim', 'Inclui kit de instalação': 'Sim', 'Peso': '37.1 kg', 'Acabamentos': 'BP', 'Com portas': 'Não', 'Com fechadura': 'Não', 'Inclui chaves': 'Não', 'Com prateleiras': 'Não', 'Quantidade de prateleiras': '0', 'Com prateleira para CPU': 'Não'}",info_products_10_escritório.json,False
MLB25889762,Stark Mesa Pc Gamer Escrivaninha Notebook 1 Gaveta para Escritorio Quarto Pequena Bcg Cor Preto,"{'Marca': 'Stark', 'Modelo': 'Escrivaninha Gaveta Móveis', 'Comprimento': '70 cm', 'Profundidade': '40 cm', 'Largura': '70 cm', 'Altura': '78 cm', 'Cor': 'Preto', 'Cor principal': 'Preto', 'Capacidade em peso': '35 kg', 'Materiais da escrivaninha': 'Mdp', 'Estilo': 'Moderno', 'Tempo de montagem': '20 m', 'Requer montagem': 'Sim', 'Com gavetas': 'Sim', 'Quantidade de gavetas': '1', 'Inclui estante para livros': 'Sim', 'É flutuante': 'Não', 'É em forma de L': 'Não', 'É gamer': 'Sim', 'Com luzes LED': 'Não', 'Inclui manual de instruções': 'Sim', 'Inclui kit de instalação': 'Sim', 'Com portas': 'Não', 'Com fechadura': 'Não', 'Inclui chaves': 'Não', 'Com prateleiras': 'Sim', 'Quantidade de prateleiras': '1', 'Com prateleira para CPU': 'Não', 'Com rodas': 'Não', 'Com bandeja móvel': 'Sim'}",info_products_10_escritório.json,False
MLB41107171,Kit 2 Cadeiras Esteirinha Interlocutor Secretária Pés Fixos Cor Preto,"{'Marca': 'Mm Home', 'Linha': 'Cadeira Para Escritório', 'Modelo': 'Cadeira office gamer top', 'Modelo alfanumérico': 'JH716', 'Cor': 'Preto', 'Material do estofamento': 'Couro sintético', 'Formato de venda': 'Kit', 'Unidades por kit': '2', 'Modelo detalhado': 'Escritório', 'Cor principal': 'Preto', 'Tipo de cadeira de escritório': 'Fixa', 'Materiais da estrutura': 'Metal', 'Materiais do enchimento': 'Espuma', 'Com altura ajustável': 'Não', 'Com aro para pés': 'Não', 'Com apoio de braços': 'Sim', 'Com encosto reclinável': 'Não', 'Com rodas': 'Não', 'Com luzes': 'Não', 'Com apoio de braços ajustável': 'Não', 'Com apoio de cabeça': 'Não', 'Com apoio de pés': 'Não', 'É gamer': 'Não', 'É ergonômica': 'Sim', 'É giratória': 'Não', 'Tipo de apoio lombar': 'Fixo', 'Acabamento da estrutura': 'Cromado', 'Altura da cadeira': '139 cm', 'Altura mínima do chão ao assento': '40 cm', 'Altura máxima do chão ao assento\r': '50 cm'}",info_products_10_escritório.json,False
MLB22508518,Escrivaninha Com Gaveta Ofertamo Compact Not 70cm Off White,"{'Marca': 'Ofertamo', 'Modelo': 'Ofertamo Compact 70Cm', 'Largura': '68 cm', 'Altura': '77 cm', 'Cor': 'Cinza-escuro', 'Materiais da escrivaninha': 'MDF', 'Com gavetas': 'Sim', 'MPN': 'Escrivaninha com gaveta ofertamo compact not 70cm off white/'}",info_products_10_escritório.json,False
MLB23546531,Câmera Segurança Tomada 360 Wifi Ip Full Hd Visão Noturna,"{'Marca': 'Smart', 'Linha': 'Smart IP E27', 'Modelo': 'E27', 'Cor': 'WI-FI', 'Unidades por kit': '1', 'Tipo de câmera de vigilância': 'IP', 'Qualidade de resoluçao': '2MP', 'Tipo de resolução': 'HD', 'Lugares de montagem': 'Casa, Cozinha, Escritório, Quarto, Sala', 'Conectividade': 'Wifi 2.4g', 'Tipos de conexões': 'Wifi2.4', 'Localizações da câmera': 'Interior', 'Campo visual': '360 °', 'É motorizada': 'Sim', 'Tipo de movimento': 'PTZ', 'Zoom óptico': '2x', 'Zoom digital': '2x', 'Com visão noturna': 'Sim', 'Com visão noturna colorida': 'Sim', 'Temperatura mínima suportada': '60 °C', 'Temperatura máxima suportada': '0 °C', 'Formato da câmera espiã': 'Foco', 'Potência': '3 W', 'Com sensor de movimento': 'Sim', 'Com alerta à móvel': 'Sim', 'Com alarme': 'Sim', 'Com áudio bidirecional': 'Sim', 'Com microfone': 'Sim', 'Com vídeo ao vivo': 'Sim', 'Com redução de ruído': 'Sim', 'É resistente à água': 'Não'}",info_products_10_escritório.json,False
